card_name,set_name,card_number,rarity,raw_price,psa10_chance,expected_profit,roi_pct
HISUIAN SAMUROTT V,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG51/GG70,ULTRA RARE,17.2,0.66,1.71,4
HISUIAN GOODRA VSTAR (SECRET),SWSH11: LOST ORIGIN,202/196,SECRET RARE,7.78,0.51,1.32,4
ZINNIA'S RESOLVE (SECRET),SWSH07: EVOLVING SKIES,225/203,SECRET RARE,5.58,0.57,1.21,4
LICKITUNG - 180/162,SV05: TEMPORAL FORCES,180/162,ILLUSTRATION RARE,24.07,0.46,1.91,4
GRUSHA - 268/193,SV02: PALDEA EVOLVED,268/193,SPECIAL ILLUSTRATION RARE,17.14,0.43,1.58,4
LITTEN - 167/162,SV05: TEMPORAL FORCES,167/162,ILLUSTRATION RARE,38.27,0.41,2.37,4
AMPHAROS V (FULL ART),SWSH04: VIVID VOLTAGE,171/185,ULTRA RARE,5.95,0.56,1.14,4
CENTISKORCH VMAX,SWSH11: LOST ORIGIN TRAINER GALLERY,TG15/TG30,ULTRA RARE,7.62,0.7,1.16,4
SUNFLORA - 169/167,SV06: TWILIGHT MASQUERADE,169/167,ILLUSTRATION RARE,7.17,0.5,1.1,3
CYNTHIA'S AMBITION (FULL ART),SWSH09: BRILLIANT STARS,169/172,ULTRA RARE,13.31,0.49,1.31,3
GLACEON V (FULL ART),SWSH07: EVOLVING SKIES,174/203,ULTRA RARE,24.8,0.45,1.67,3
IRIDA,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG63/GG70,ULTRA RARE,7.49,0.55,1.03,3
ALOLAN VULPIX V (FULL ART),SWSH12: SILVER TEMPEST,173/195,ULTRA RARE,10.02,0.54,1.05,3
HEARTHFLAME MASK OGERPON EX - 212/167,SV06: TWILIGHT MASQUERADE,212/167,SPECIAL ILLUSTRATION RARE,11.91,0.59,1.08,3
IRON JUGULIS - 216/182,SV04: PARADOX RIFT,216/182,ILLUSTRATION RARE,10.05,0.48,0.93,3
HOUNDOUR - 204/197,SV03: OBSIDIAN FLAMES,204/197,ILLUSTRATION RARE,11.07,0.26,0.95,3
CHATOT - 181/162,SV05: TEMPORAL FORCES,181/162,ILLUSTRATION RARE,9.86,0.45,0.88,3
DURALUDON VMAX,SWSH12: SILVER TEMPEST TRAINER GALLERY,TG21/TG30,ULTRA RARE,10.72,0.74,0.89,3
IRON HANDS EX - 248/182,SV04: PARADOX RIFT,248/182,SPECIAL ILLUSTRATION RARE,11.54,0.37,0.84,2
ROARING MOON EX - 262/182,SV04: PARADOX RIFT,262/182,HYPER RARE,6.96,0.43,0.64,2
RAIKOU V,SWSH09: BRILLIANT STARS,048/172,ULTRA RARE,1.63,0.41,0.52,2
IRON LEAVES EX - 203/162,SV05: TEMPORAL FORCES,203/162,SPECIAL ILLUSTRATION RARE,29.46,0.47,0.81,1
ARCEUS VSTAR,SWSH09: BRILLIANT STARS,123/172,ULTRA RARE,5.55,0.53,0.36,1
SINISTCHA EX - 210/167,SV06: TWILIGHT MASQUERADE,210/167,SPECIAL ILLUSTRATION RARE,25.09,0.5,0.53,1
ESPATHRA - 197/182,SV04: PARADOX RIFT,197/182,ILLUSTRATION RARE,6.72,0.48,0.3,1
TINKATON EX - 262/193,SV02: PALDEA EVOLVED,262/193,SPECIAL ILLUSTRATION RARE,57.48,0.43,0.77,1
REUNICLUS - 171/162,SV05: TEMPORAL FORCES,171/162,ILLUSTRATION RARE,12.46,0.46,0.34,1
PALKIA EX,XY - BREAKPOINT,31/122,ULTRA RARE,6.49,0.16,0.27,1
LEAFEON V (ALTERNATE FULL ART),SWSH07: EVOLVING SKIES,167/203,ULTRA RARE,130.93,0.54,0.94,1
TROPIUS - 195/193,SV02: PALDEA EVOLVED,195/193,ILLUSTRATION RARE,11.45,0.22,0.18,1
IRON VALIANT EX - 261/182,SV04: PARADOX RIFT,261/182,HYPER RARE,4.65,0.39,0.13,0
TAPU KOKO EX - 247/182,SV04: PARADOX RIFT,247/182,SPECIAL ILLUSTRATION RARE,21.91,0.38,0.17,0
PYROAR - 200/193,SV02: PALDEA EVOLVED,200/193,ILLUSTRATION RARE,11.9,0.22,0.07,0
SALVATORE - 212/162,SV05: TEMPORAL FORCES,212/162,SPECIAL ILLUSTRATION RARE,15.18,0.46,,0
GREEDENT VMAX (SECRET),SWSH08: FUSION STRIKE,272/264,SECRET RARE,7.89,0.64,,0
ROARING MOON EX - 229/182,SV04: PARADOX RIFT,229/182,ULTRA RARE,3.49,0.47,,0
ALOLAN EXEGGUTOR EX - 242/191,SV08: SURGING SPARKS,242/191,SPECIAL ILLUSTRATION RARE,30.8,0.39,,1
POKEMON CENTER LADY (FULL ART),SWSH04: VIVID VOLTAGE,185/185,ULTRA RARE,19.57,0.46,,1
LEAFEON V (FULL ART),SWSH07: EVOLVING SKIES,166/203,ULTRA RARE,20.74,0.42,,1
FERROTHORN - 209/182,SV04: PARADOX RIFT,209/182,ILLUSTRATION RARE,5.22,0.46,,1
SYLVEON V (FULL ART),SWSH07: EVOLVING SKIES,183/203,ULTRA RARE,35.68,0.49,,1
FLORAGATO - 197/193,SV02: PALDEA EVOLVED,197/193,ILLUSTRATION RARE,20.09,0.21,,1
RILLABOOM (SECRET),SWSH03: DARKNESS ABLAZE,197/189,SECRET RARE,6.93,0.69,,1
APPLIN - 185/167,SV06: TWILIGHT MASQUERADE,185/167,ILLUSTRATION RARE,10.21,0.48,,1
CHARIZARD EX (12),XY - FLASHFIRE,12/106,ULTRA RARE,16.86,0.07,,1
MINUN - 194/182,SV04: PARADOX RIFT,194/182,ILLUSTRATION RARE,45.24,0.4,,2
WO-CHIEN EX - 257/193,SV02: PALDEA EVOLVED,257/193,SPECIAL ILLUSTRATION RARE,15.17,0.52,,2
TAPU LELE GX,CELEBRATIONS: CLASSIC COLLECTION,60/145,CLASSIC COLLECTION,4.92,0.63,,2
AIPOM - 211/182,SV04: PARADOX RIFT,211/182,ILLUSTRATION RARE,29.31,0.5,,2
SHAYMIN EX (106 FULL ART),XY - ROARING SKIES,106/108,ULTRA RARE,23.16,0.09,,2
WELLSPRING MASK OGERPON EX - 152/131,SV: PRISMATIC EVOLUTIONS,152/131,SPECIAL ILLUSTRATION RARE,16.65,0.39,,3
IRON HANDS EX - 223/182,SV04: PARADOX RIFT,223/182,ULTRA RARE,2.32,0.45,,3
CYNTHIA'S AMBITION (SECRET),SWSH09: BRILLIANT STARS,178/172,SECRET RARE,5.83,0.51,,3
ALOLAN EXEGGUTOR EX - 248/191,SV08: SURGING SPARKS,248/191,HYPER RARE,10.53,0.42,,3
BRAVIARY - 214/191,SV08: SURGING SPARKS,214/191,ILLUSTRATION RARE,4.51,0.35,,3
IRON CROWN EX,SV: PRISMATIC EVOLUTIONS,158/131,SPECIAL ILLUSTRATION RARE,39.99,0.41,,3
IRON VALIANT EX,SV: PRISMATIC EVOLUTIONS,157/131,SPECIAL ILLUSTRATION RARE,47.94,0.44,,4
MINCCINO - 182/162,SV05: TEMPORAL FORCES,182/162,ILLUSTRATION RARE,22.17,0.43,,4
CYNTHIA'S AMBITION,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG60/GG70,ULTRA RARE,22.39,0.46,,4
TINKATON EX - 240/193,SV02: PALDEA EVOLVED,240/193,ULTRA RARE,8.91,0.38,,4
ESPEON (MASTER BALL PATTERN),SV: PRISMATIC EVOLUTIONS,033/131,RARE,31.7,0.23,,4
TREVENANT VMAX (SECRET),SWSH07: EVOLVING SKIES,206/203,SECRET RARE,7.33,0.64,,4
GALARIAN PERRSERKER V (ALTERNATE FULL ART),SWSH11: LOST ORIGIN,184/196,ULTRA RARE,18.96,0.5,,4
IRON CROWN EX - 216/162,SV05: TEMPORAL FORCES,216/162,HYPER RARE,8.1,0.53,,4
KYUREM VMAX (SECRET),SWSH11: LOST ORIGIN,197/196,SECRET RARE,9.32,0.63,,4
CHIEN-PAO EX - 274/193,SV02: PALDEA EVOLVED,274/193,HYPER RARE,5.99,0.51,,4
ACEROLA'S PREMONITION,SWSH09: BRILLIANT STARS TRAINER GALLERY,TG24/TG30,ULTRA RARE,8.42,0.51,,5
SERENA (SECRET),SWSH12: SILVER TEMPEST,207/195,SECRET RARE,16.42,0.4,,5
MINIOR - 201/182,SV04: PARADOX RIFT,201/182,ILLUSTRATION RARE,23.7,0.41,,5
DEERLING - 165/162,SV05: TEMPORAL FORCES,165/162,ILLUSTRATION RARE,48.86,0.34,,5
CHARJABUG - 169/162,SV05: TEMPORAL FORCES,169/162,ILLUSTRATION RARE,6.46,0.41,,5
GYARADOS,XY - EVOLUTIONS,34/108,HOLO RARE,8.63,0.06,,5
AERODACTYL V (ALTERNATE FULL ART),SWSH11: LOST ORIGIN,180/196,ULTRA RARE,200.64,0.45,,6
LANA'S AID - 219/167,SV06: TWILIGHT MASQUERADE,219/167,SPECIAL ILLUSTRATION RARE,36.62,0.53,,6
QUAQUAVAL EX - 273/193,SV02: PALDEA EVOLVED,273/193,HYPER RARE,5.24,0.5,,6
DRACOZOLT VMAX (SECRET),SWSH07: EVOLVING SKIES,210/203,SECRET RARE,8.18,0.67,,6
GARDENIA'S VIGOR,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG61/GG70,ULTRA RARE,12.99,0.51,,6
DIALGA EX,XY - PHANTOM FORCES,62/119,ULTRA RARE,10.44,0.1,,6
CENTISKORCH VMAX (SECRET),SWSH03: DARKNESS ABLAZE,191/189,SECRET RARE,7.12,0.76,,6
FROSLASS (SECRET),SWSH07: EVOLVING SKIES,226/203,SECRET RARE,9.77,0.54,,7
QUAXLY - 206/193,SV02: PALDEA EVOLVED,206/193,ILLUSTRATION RARE,15.3,0.18,,7
SKUNTANK V (ALTERNATE FULL ART),SWSH12: SILVER TEMPEST,181/195,ULTRA RARE,10.5,0.67,,7
MELONY,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG64/GG70,ULTRA RARE,7.25,0.58,,7
DURALUDON VMAX (SECRET),SWSH07: EVOLVING SKIES,219/203,SECRET RARE,7.21,0.72,,7
SNORUNT - 188/182,SV04: PARADOX RIFT,188/182,ILLUSTRATION RARE,9.29,0.42,,7
PARASOL LADY - 255/182,SV04: PARADOX RIFT,255/182,SPECIAL ILLUSTRATION RARE,17.13,0.36,,7
SAGUARO - 270/193,SV02: PALDEA EVOLVED,270/193,SPECIAL ILLUSTRATION RARE,15.8,0.46,,8
NINETALES -199/197,SV03: OBSIDIAN FLAMES,199/197,ILLUSTRATION RARE,51.21,0.24,,8
PIKACHU (SECRET),SWSH: CROWN ZENITH,160/159,SECRET RARE,52.34,0.15,,8
PROFESSOR SADA'S VITALITY - 256/182,SV04: PARADOX RIFT,256/182,SPECIAL ILLUSTRATION RARE,7.74,0.38,,8
KECLEON - 213/191,SV08: SURGING SPARKS,213/191,ILLUSTRATION RARE,6.69,0.34,,8
ELESA'S SPARKLE (SECRET),SWSH08: FUSION STRIKE,275/264,SECRET RARE,5.93,0.45,,8
BLOODMOON URSALUNA EX - 202/167,SV06: TWILIGHT MASQUERADE,202/167,ULTRA RARE,3.12,0.56,,8
SANDY SHOCKS EX - 159/131,SV: PRISMATIC EVOLUTIONS,159/131,SPECIAL ILLUSTRATION RARE,25.14,0.4,,8
ESPEON V (ALTERNATE FULL ART),SWSH07: EVOLVING SKIES,180/203,ULTRA RARE,222.7,0.5,,8
IRON BOULDER EX - 207/162,SV05: TEMPORAL FORCES,207/162,SPECIAL ILLUSTRATION RARE,18.54,0.47,,9
ALOLAN EXEGGUTOR EX - 225/191,SV08: SURGING SPARKS,225/191,ULTRA RARE,2.46,0.47,,9
COLRESS'S EXPERIMENT,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG59/GG70,ULTRA RARE,2.92,0.59,,9
BOLTUND V,SWSH09: BRILLIANT STARS TRAINER GALLERY,TG13/TG30,ULTRA RARE,13.58,0.6,,9
ROOKIDEE - 225/193,SV02: PALDEA EVOLVED,225/193,ILLUSTRATION RARE,10.22,0.26,,9
HYDREIGON EX - 240/191,SV08: SURGING SPARKS,240/191,SPECIAL ILLUSTRATION RARE,40.94,0.39,,9
INTELEON (SECRET),SWSH07: EVOLVING SKIES,227/203,SECRET RARE,8.71,0.49,,9
PHIONE - 175/167,SV06: TWILIGHT MASQUERADE,175/167,ILLUSTRATION RARE,10.73,0.44,,9
MAWILE VSTAR (SECRET),SWSH12: SILVER TEMPEST,200/195,SECRET RARE,7.26,0.52,,10
CHILI & CILAN & CRESS (SECRET),SWSH08: FUSION STRIKE,273/264,SECRET RARE,3.8,0.45,,10
GARBODOR VMAX (SECRET),SWSH07: EVOLVING SKIES,216/203,SECRET RARE,8.45,0.69,,10
LATIAS EX - 220/191,SV08: SURGING SPARKS,220/191,ULTRA RARE,7.14,0.41,,11
TEAL MASK OGERPON EX - 221/167,SV06: TWILIGHT MASQUERADE,221/167,HYPER RARE,10.79,0.49,,11
EISCUE EX - 222/197,SV03: OBSIDIAN FLAMES,222/197,SPECIAL ILLUSTRATION RARE,5.6,0.33,,11
SERPERIOR VSTAR (SECRET),SWSH12: SILVER TEMPEST,196/195,SECRET RARE,7.21,0.54,,11
SANDACONDA V (ALTERNATE FULL ART),SWSH08: FUSION STRIKE,252/264,ULTRA RARE,6.07,0.48,,11
SLITHER WING - 203/182,SV04: PARADOX RIFT,203/182,ILLUSTRATION RARE,5.23,0.44,,11
BOLTUND VMAX (SECRET),SWSH08: FUSION STRIKE,267/264,SECRET RARE,7.37,0.52,,11
CASTFORM SUNNY FORM - 195/191,SV08: SURGING SPARKS,195/191,ILLUSTRATION RARE,7.29,0.34,,11
ROXANNE,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG66/GG70,ULTRA RARE,5.06,0.52,,11
WHIMSICOTT VSTAR (SECRET),SWSH09: BRILLIANT STARS,175/172,SECRET RARE,6.12,0.53,,12
APPLETUN - 211/191,SV08: SURGING SPARKS,211/191,ILLUSTRATION RARE,7.29,0.37,,12
NESSA (FULL ART),SWSH04: VIVID VOLTAGE,183/185,ULTRA RARE,9.11,0.49,,12
DUDUNSPARCE - 229/193,SV02: PALDEA EVOLVED,229/193,ILLUSTRATION RARE,7.67,0.25,,12
WELLSPRING MASK OGERPON EX - 213/167,SV06: TWILIGHT MASQUERADE,213/167,SPECIAL ILLUSTRATION RARE,18.86,0.5,,12
BEA (FULL ART),SWSH04: VIVID VOLTAGE,180/185,ULTRA RARE,6.63,0.44,,12
VELUZA - 192/182,SV04: PARADOX RIFT,192/182,ILLUSTRATION RARE,8.91,0.4,,12
MEW,XY - EVOLUTIONS,53/108,HOLO RARE,23.86,0.04,,13
MELA - 254/182,SV04: PARADOX RIFT,254/182,SPECIAL ILLUSTRATION RARE,7.66,0.39,,13
CANDICE (FULL ART),SWSH12: SILVER TEMPEST,189/195,ULTRA RARE,6.81,0.52,,13
TINKATUFF - 217/193,SV02: PALDEA EVOLVED,217/193,ILLUSTRATION RARE,36.16,0.22,,13
GRAFAIAI - 223/193,SV02: PALDEA EVOLVED,223/193,ILLUSTRATION RARE,7.83,0.23,,13
IRON MOTH - 187/182,SV04: PARADOX RIFT,187/182,ILLUSTRATION RARE,7.38,0.44,,13
MIENSHAO - 200/182,SV04: PARADOX RIFT,200/182,ILLUSTRATION RARE,7.25,0.41,,14
DURANT EX - 236/191,SV08: SURGING SPARKS,236/191,SPECIAL ILLUSTRATION RARE,28.86,0.41,,14
MUDSDALE - 175/162,SV05: TEMPORAL FORCES,175/162,ILLUSTRATION RARE,8.14,0.29,,14
HYDREIGON EX - 223/191,SV08: SURGING SPARKS,223/191,ULTRA RARE,4.95,0.47,,14
ETERNATUS VMAX,SWSH03: DARKNESS ABLAZE,117/189,ULTRA RARE,4.25,0.76,,14
INTELEON VMAX (ALTERNATE ART SECRET),SWSH08: FUSION STRIKE,266/264,SECRET RARE,30.12,0.68,,14
BLACK KYUREM EX - 218/191,SV08: SURGING SPARKS,218/191,ULTRA RARE,2.71,0.41,,14
BEA (SECRET),SWSH04: VIVID VOLTAGE,193/185,SECRET RARE,7.06,0.4,,14
HISUIAN ZOROARK VSTAR (213) (SECRET),SWSH11: LOST ORIGIN,213/196,SECRET RARE,6.3,0.49,,14
HONCHKROW V (ALTERNATE FULL ART),SWSH09: BRILLIANT STARS,162/172,ULTRA RARE,12.06,0.53,,14
IONO - 254/193,SV02: PALDEA EVOLVED,254/193,ULTRA RARE,11.51,0.44,,14
DIALGA EX (122 SECRET RARE),XY - PHANTOM FORCES,122/119,SECRET RARE,958.32,0.02,,15
DENDRA - 266/193,SV02: PALDEA EVOLVED,266/193,SPECIAL ILLUSTRATION RARE,9.95,0.45,,15
LUMINEON V (ALTERNATE FULL ART),SWSH09: BRILLIANT STARS,156/172,ULTRA RARE,15.65,0.46,,15
VOLCARONA V (FULL ART),SWSH07: EVOLVING SKIES,170/203,ULTRA RARE,5.3,0.63,,16
HEARTHFLAME MASK OGERPON EX - 148/131,SV: PRISMATIC EVOLUTIONS,148/131,SPECIAL ILLUSTRATION RARE,19.57,0.36,,16
CARMINE - 217/167,SV06: TWILIGHT MASQUERADE,217/167,SPECIAL ILLUSTRATION RARE,77.37,0.51,,16
MEOWSCARADA EX - 271/193,SV02: PALDEA EVOLVED,271/193,HYPER RARE,7.91,0.47,,16
______'S PIKACHU,CELEBRATIONS: CLASSIC COLLECTION,24/53,CLASSIC COLLECTION,39.68,0.15,,16
ZAPDOS,XY - EVOLUTIONS,42/108,HOLO RARE,4.61,0.1,,16
NESSA (SECRET),SWSH04: VIVID VOLTAGE,196/185,SECRET RARE,12.1,0.46,,16
PIDGEOT EX - 217/197,SV03: OBSIDIAN FLAMES,217/197,ULTRA RARE,2.24,0.33,,16
LUMINEON V (FULL ART),SWSH09: BRILLIANT STARS,155/172,ULTRA RARE,2.36,0.52,,17
DIPPLIN - 170/167,SV06: TWILIGHT MASQUERADE,170/167,ILLUSTRATION RARE,11.41,0.47,,17
ORTHWORM - 224/193,SV02: PALDEA EVOLVED,224/193,ILLUSTRATION RARE,5.92,0.17,,17
ROSEANNE'S BACKUP (FULL ART),SWSH09: BRILLIANT STARS,172/172,ULTRA RARE,2.79,0.46,,17
TOEDSCRUEL - 185/182,SV04: PARADOX RIFT,185/182,ILLUSTRATION RARE,6.83,0.37,,17
AROMA LADY (FULL ART),SWSH07: EVOLVING SKIES,199/203,ULTRA RARE,12.81,0.48,,17
KIERAN - 218/167,SV06: TWILIGHT MASQUERADE,218/167,SPECIAL ILLUSTRATION RARE,32.8,0.51,,18
RAYQUAZA VMAX (SECRET),SWSH12: SILVER TEMPEST TRAINER GALLERY,TG29/TG30,SECRET RARE,26.27,0.15,,18
ARCHALUDON EX - 241/191,SV08: SURGING SPARKS,241/191,SPECIAL ILLUSTRATION RARE,12.95,0.43,,18
LIGHTNING ENERGY (SECRET),SWSH07: EVOLVING SKIES,235/203,SECRET RARE,7.33,0.48,,18
REGIDRAGO V (FULL ART),SWSH12: SILVER TEMPEST,183/195,ULTRA RARE,2.4,0.53,,18
WALLY (107 FULL ART),XY - ROARING SKIES,107/108,ULTRA RARE,17.95,0.11,,18
BLOODMOON URSALUNA EX - 222/167,SV06: TWILIGHT MASQUERADE,222/167,HYPER RARE,9.38,0.49,,18
CHARIZARD EX (11),XY - FLASHFIRE,11/106,ULTRA RARE,14.92,0.07,,19
TINKATINK - 216/193,SV02: PALDEA EVOLVED,216/193,ILLUSTRATION RARE,30.64,0.19,,19
VANILLISH - 190/182,SV04: PARADOX RIFT,190/182,ILLUSTRATION RARE,9.77,0.38,,19
EISCUE - 205/193,SV02: PALDEA EVOLVED,205/193,ILLUSTRATION RARE,19.26,0.18,,19
LADY (FULL ART),SWSH11: LOST ORIGIN,193/196,ULTRA RARE,4.33,0.45,,19
GOUGING FIRE EX - 214/162,SV05: TEMPORAL FORCES,214/162,HYPER RARE,11.89,0.5,,20
WALKING WAKE EX - 215/162,SV05: TEMPORAL FORCES,215/162,HYPER RARE,9.01,0.49,,20
LANCE (SECRET),SWSH12: SILVER TEMPEST,206/195,SECRET RARE,4.49,0.42,,20
GALARIAN OBSTAGOON (SECRET),SWSH04: VIVID VOLTAGE,198/185,SECRET RARE,6.25,0.34,,20
TULIP - 259/182,SV04: PARADOX RIFT,259/182,SPECIAL ILLUSTRATION RARE,8.09,0.35,,20
COALOSSAL VMAX (SECRET),SWSH04: VIVID VOLTAGE,189/185,SECRET RARE,6.59,0.55,,20
SHARPEDO EX (152 FULL ART),XY - PRIMAL CLASH,152/160,ULTRA RARE,37.95,0.03,,20
DIANCIE EX,XY - FATES COLLIDE,72/124,ULTRA RARE,4.81,0.25,,21
PERRIN - 220/167,SV06: TWILIGHT MASQUERADE,220/167,SPECIAL ILLUSTRATION RARE,178.15,0.49,,21
SHAUNA (SECRET),SWSH08: FUSION STRIKE,278/264,SECRET RARE,4.91,0.45,,21
POKEMON BREEDER'S NURTURING (SECRET),SWSH03: DARKNESS ABLAZE,195/189,SECRET RARE,4.32,0.69,,21
REGIDRAGO VSTAR,SWSH12: SILVER TEMPEST,136/195,ULTRA RARE,1.39,0.57,,21
GLORIA,SWSH09: BRILLIANT STARS TRAINER GALLERY,TG26/TG30,ULTRA RARE,5.87,0.53,,22
PARASOL LADY - 238/182,SV04: PARADOX RIFT,238/182,ULTRA RARE,5.14,0.46,,22
COPYCAT (SECRET),SWSH07: EVOLVING SKIES,222/203,SECRET RARE,4.61,0.51,,22
LISIA'S APPEAL - 246/191,SV08: SURGING SPARKS,246/191,SPECIAL ILLUSTRATION RARE,32,0.31,,22
GHOLDENGO EX - 139/182,SV04: PARADOX RIFT,139/182,DOUBLE RARE,1.42,0.48,,22
CORNERSTONE MASK OGERPON EX - 215/167,SV06: TWILIGHT MASQUERADE,215/167,SPECIAL ILLUSTRATION RARE,16.29,0.53,,23
FROSLASS - 174/167,SV06: TWILIGHT MASQUERADE,174/167,ILLUSTRATION RARE,10.88,0.49,,23
TRAINERS' MAIL (SECRET),XY - ANCIENT ORIGINS,100/98,SECRET RARE,6.73,0.19,,24
ALLISTER (FULL ART),SWSH04: VIVID VOLTAGE,179/185,ULTRA RARE,5.45,0.5,,24
AEGISLASH VMAX (SECRET),SWSH04: VIVID VOLTAGE,190/185,SECRET RARE,7.91,0.56,,24
HISUIAN ELECTRODE V (FULL ART),SWSH11: LOST ORIGIN,172/196,ULTRA RARE,2.35,0.41,,25
VOLO (SECRET),SWSH11: LOST ORIGIN,211/196,SECRET RARE,4.65,0.53,,25
RAGING BOLT EX - 196/162,SV05: TEMPORAL FORCES,196/162,ULTRA RARE,4.36,0.55,,25
CHEREN'S CARE (SECRET),SWSH09: BRILLIANT STARS,177/172,SECRET RARE,2.65,0.52,,25
ELESA'S SPARKLE (FULL ART),SWSH: CROWN ZENITH,147/159,ULTRA RARE,15.65,0.53,,25
TULIP - 244/182,SV04: PARADOX RIFT,244/182,ULTRA RARE,4.17,0.49,,26
TEAL MASK OGERPON EX - 145/131,SV: PRISMATIC EVOLUTIONS,145/131,SPECIAL ILLUSTRATION RARE,23.03,0.34,,26
SANDY SHOCKS EX - 250/182,SV04: PARADOX RIFT,250/182,SPECIAL ILLUSTRATION RARE,8.23,0.41,,26
ERI - 210/162,SV05: TEMPORAL FORCES,210/162,SPECIAL ILLUSTRATION RARE,15.95,0.15,,26
NACLI - 220/193,SV02: PALDEA EVOLVED,220/193,ILLUSTRATION RARE,6.77,0.21,,26
RAGING BOLT EX - 218/162,SV05: TEMPORAL FORCES,218/162,HYPER RARE,12.92,0.44,,27
COALOSSAL (SECRET),SWSH03: DARKNESS ABLAZE,198/189,SECRET RARE,5.23,0.63,,27
BASIC WATER ENERGY - 279/193,SV02: PALDEA EVOLVED,279/193,HYPER RARE,9.17,0.54,,27
KIERAN - 174/131,SV: PRISMATIC EVOLUTIONS,174/131,SPECIAL ILLUSTRATION RARE,21.3,0.32,,27
GIACOMO - 267/193,SV02: PALDEA EVOLVED,267/193,SPECIAL ILLUSTRATION RARE,5.43,0.4,,27
FRIENDS IN HISUI (FULL ART),SWSH: CROWN ZENITH,148/159,ULTRA RARE,6.58,0.62,,27
LEON (FULL ART),SWSH04: VIVID VOLTAGE,182/185,ULTRA RARE,9.79,0.44,,27
TOGEKISS VMAX (SECRET),SWSH04: VIVID VOLTAGE,191/185,SECRET RARE,12.92,0.59,,27
QUAXWELL - 207/193,SV02: PALDEA EVOLVED,207/193,ILLUSTRATION RARE,9.3,0.19,,28
AROMA LADY (SECRET),SWSH07: EVOLVING SKIES,221/203,SECRET RARE,6.41,0.58,,28
CLEMONT'S QUICK WIT - 243/191,SV08: SURGING SPARKS,243/191,SPECIAL ILLUSTRATION RARE,8.67,0.33,,29
JASMINE'S GAZE - 245/191,SV08: SURGING SPARKS,245/191,SPECIAL ILLUSTRATION RARE,22.36,0.32,,29
WORKER (SECRET),SWSH12: SILVER TEMPEST,209/195,SECRET RARE,4.51,0.49,,29
ORBEETLE VMAX (SECRET),SWSH04: VIVID VOLTAGE,186/185,SECRET RARE,7.08,0.56,,29
ELESA'S SPARKLE (FULL ART),SWSH08: FUSION STRIKE,260/264,ULTRA RARE,4.25,0.44,,30
DRAGAPULT EX - 200/167,SV06: TWILIGHT MASQUERADE,200/167,ULTRA RARE,16.98,0.44,,30
REGIDRAGO VSTAR (SECRET),SWSH12: SILVER TEMPEST,201/195,SECRET RARE,7.5,0.52,,30
PIKACHU VMAX (SECRET),SWSH11: LOST ORIGIN TRAINER GALLERY,TG29/TG30,ULTRA RARE,24.08,0.15,,30
FARIGIRAF - 228/193,SV02: PALDEA EVOLVED,228/193,ILLUSTRATION RARE,13.04,0.18,,30
JOLTEON (MASTER BALL PATTERN),SV: PRISMATIC EVOLUTIONS,029/131,RARE,26.91,0.3,,30
PROFESSOR BIRCH'S OBSERVATIONS (159 FULL ART),XY - PRIMAL CLASH,159/160,ULTRA RARE,12.72,0.06,,30
BRAMBLIN - 198/193,SV02: PALDEA EVOLVED,198/193,ILLUSTRATION RARE,9.45,0.25,,30
MEW VMAX (SECRET),SWSH11: LOST ORIGIN TRAINER GALLERY,TG30/TG30,SECRET RARE,32.07,0.15,,30
SWITCH (163 SECRET RARE),XY - PRIMAL CLASH,163/160,SECRET RARE,20.9,0.03,,30
MAGNEZONE VSTAR (SECRET),SWSH11: LOST ORIGIN,198/196,SECRET RARE,6.28,0.6,,31
DANCER (SECRET),SWSH08: FUSION STRIKE,274/264,SECRET RARE,3.88,0.52,,31
COUNTER CATCHER - 264/182,SV04: PARADOX RIFT,264/182,HYPER RARE,3.04,0.46,,31
MISS FORTUNE SISTERS (SECRET),SWSH11: LOST ORIGIN,209/196,SECRET RARE,4.64,0.47,,31
CANDICE (SECRET),SWSH12: SILVER TEMPEST,204/195,SECRET RARE,5.31,0.44,,31
BUDDY-BUDDY POFFIN,SV06: TWILIGHT MASQUERADE,223/167,HYPER RARE,13.4,0.35,,31
LISIA'S APPEAL - 234/191,SV08: SURGING SPARKS,234/191,ULTRA RARE,3.57,0.27,,31
CERULEDGE EX,SV08: SURGING SPARKS,036/191,DOUBLE RARE,1.88,0.45,,31
CARMINE - 204/167,SV06: TWILIGHT MASQUERADE,204/167,ULTRA RARE,6.73,0.54,,32
IRON LEAVES EX - 213/162,SV05: TEMPORAL FORCES,213/162,HYPER RARE,7.73,0.51,,32
PROFESSOR SADA'S VITALITY - 239/182,SV04: PARADOX RIFT,239/182,ULTRA RARE,2.07,0.55,,32
DRAPION VSTAR (SECRET),SWSH11: LOST ORIGIN,200/196,SECRET RARE,5.94,0.52,,33
TEAL MASK OGERPON EX - 211/167,SV06: TWILIGHT MASQUERADE,211/167,SPECIAL ILLUSTRATION RARE,25.61,0.53,,33
